geo,eu_fborn,fborn,native_born,non_eu_fborn,OTH,total_pop,UNK,pct_fborn,pct_non_eu_fborn,pct_eu_fborn,pct_fborn_sq,pct_non_eu_fborn_sq,pct_eu_fborn_sq,country_code,non_eu_prop
BE,765523,1517608,9371282,752085,111204,11000638,544,0.13795636216735793,0.06836739832726066,0.06958896384009727,0.019031957862451227,0.004674101154038324,0.0048426238883383654,BE,0.49557263799347395
BE1,191268,454453,654748,263185,27309,1136778,268,0.3997728668218421,0.23151837913823103,0.16825448768361104,0.1598183450469543,0.05360075987879369,0.028309572625674417,BE,0.5791247939830961
BE10,191268,454453,654748,263185,27309,1136778,268,0.3997728668218421,0.23151837913823103,0.16825448768361104,0.1598183450469543,0.05360075987879369,0.028309572625674417,BE,0.5791247939830961
BE2,286507,590145,5677340,303638,58146,6325740,109,0.0932926424418329,0.04800039204899348,0.04529225039283941,0.008703517133779681,0.0023040376368570763,0.0020513879456476617,BE,0.5145142295537537
BE21,94603,213100,1536503,118497,23620,1773267,44,0.12017366815036878,0.06682411616524754,0.05334955198512125,0.01444171051671496,0.004465462501266498,0.0028461746970131546,BE,0.5560628812763961
BE22,67928,105590,735506,37662,5744,846851,11,0.12468545234049437,0.044472994659036834,0.08021245768145754,0.015546462025353694,0.001977847253942719,0.006434038367299617,BE,0.35668150393029646
BE23,39248,99427,1337002,60179,12487,1448928,12,0.06862107709975927,0.041533464740829085,0.027087612358930188,0.004708852222331106,0.0017250286933776927,7.337387433076674e-4,BE,0.6052581290796263
BE24,54701,114446,966569,59745,7644,1088692,33,0.10512247724792687,0.05487777994143431,0.05024469730649256,0.011050735222740901,0.0030115707313004897,0.0025245296074210607,BE,0.5220365936773675
BE25,30027,57582,1101760,27555,8651,1168002,9,0.04929957311716932,0.023591569192518504,0.025708003924650814,0.002430447909535124,5.565621369653882e-4,6.609014657898616e-4,BE,0.47853495884130454
BE3,287748,473010,3039194,185262,25749,3538120,167,0.13368964308728928,0.05236170621686093,0.08132793687042836,0.017872920668806795,0.002741748277940853,0.006614233315600381,BE,0.3916661381366145
BE31,26833,52599,329144,25766,1890,383648,15,0.1371022395529235,0.06716052214529986,0.06994171740762366,0.01879702409042722,0.004510535734829312,0.004891843833927886,BE,0.4898572216201829
BE32,123408,182966,1131852,59558,4884,1319745,43,0.13863738828334263,0.045128414958950404,0.09350897332439222,0.019220325430026306,0.0020365738367072186,0.008743928092181896,BE,0.3255140299290578
BE33,93048,164872,904429,71824,12741,1082136,94,0.15235792913275226,0.06637243377911833,0.08598549535363392,0.02321293856962076,0.004405299965763448,0.007393505411209801,BE,0.43563491678392935
BE34,23436,33240,237796,9804,2163,273205,6,0.12166688018154866,0.03588514119434125,0.08578173898720741,0.014802829733111316,0.0012877433585378071,0.0073585067436693795,BE,0.2949458483754513
BE35,21023,39333,435973,18310,4071,479386,9,0.082048703967158,0.03819469070853133,0.04385401325862666,0.006731989822690328,0.0014588343983203693,0.0019231744788878028,BE,0.4655124195967762
BEZ,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,BE,NA
BEZZ,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,BE,NA
BG,24076,78643,7285783,54567,0,7364570,144,0.010678559644351266,0.0074093938953666,0.0032691657489846656,1.1403163607796743e-4,5.4899117896695835e-5,1.068744469433447e-5,BG,0.6938570502142594
BG3,14185,37531,3714789,23346,0,3752349,29,0.010002001412981574,0.006221702725412802,0.0037802986875687737,1.0004003226528541e-4,3.8709584803409086e-5,1.4290658167234193e-5,BG,0.6220457754922598
BG31,1440,5384,841749,3944,0,847138,5,0.006355517046809375,0.004655675934735545,0.0016998411120738297,4.0392596932284556e-5,2.167531840927569e-5,2.889459806296394e-6,BG,0.7325408618127786
BG32,3580,8306,852804,4726,0,861112,NA,0.009645667462536813,0.00548825239922333,0.004157415063313483,9.303890079784136e-5,3.0120914397580633e-5,1.7284100008665855e-5,BG,0.5689862749819408
BG33,6483,14312,951772,7829,0,966097,13,0.014814247430641022,0.008103741135724466,0.006710506294916556,2.1946192693625413e-4,6.567062039483285e-5,4.503089473411473e-5,BG,0.547023476802683
BG34,2682,9529,1068464,6847,0,1078002,9,0.008839501225415167,0.006351565210454155,0.0024879360149610112,7.813678191411624e-5,4.0342380622651535e-5,6.189825614540077e-6,BG,0.7185433938503515
BG4,9891,41112,3570994,31221,0,3612221,115,0.011381363432636044,0.008643158876491776,0.002738204556144267,1.295354335857449e-4,7.470419536427858e-5,7.497764191289223e-6,BG,0.7594133099824869
BG41,6555,29741,2103007,23186,0,2132848,100,0.013944266070531047,0.010870910632168818,0.0030733554383622274,1.9444255624576336e-4,1.1817669797260105e-4,9.445513650510678e-6,BG,0.7795971890655996
BG42,3336,11371,1467987,8035,0,1479373,15,0.007686364426010208,0.005431355040277199,0.00225500938573301,5.908019808943524e-5,2.9499617573544533e-5,5.085067329743966e-6,BG,0.70662210887345
BGZ,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,BG,NA
BGZZ,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,BG,NA
CZ,384622,693959,9691367,309337,0,10436560,51234,0.06649307817901684,0.029639747196394214,0.036853330982622626,0.0044213294457208455,8.785146138661587e-4,0.0013581680045147326,CZ,0.4457568818907169
CZ0,384622,693959,9691367,309337,0,10436560,51234,0.06649307817901684,0.029639747196394214,0.036853330982622626,0.0044213294457208455,8.785146138661587e-4,0.0013581680045147326,CZ,0.4457568818907169
CZ01,62831,187565,1063790,124734,0,1268796,17441,0.14782912304263254,0.09830894801055488,0.04952017503207765,0.02185344961955379,0.009664649258941983,0.002452247735207607,CZ,0.6650174606136539
CZ02,43279,81255,1202067,37976,0,1289211,5889,0.06302692111686915,0.02945677627634266,0.03357014484052649,0.003972392785472047,8.677016685945038e-4,0.0011269546246139275,CZ,0.46736816195926406
CZ03,38130,64647,1128880,26517,0,1198737,5210,0.05392926054672543,0.022120782123184652,0.03180847842354078,0.002908365143116596,4.893290017414057e-4,0.0010117792996208594,CZ,0.41018144693489256
CZ04,53247,91379,1007000,38132,0,1104556,6177,0.08272916900546463,0.03452246875667689,0.048206700248787746,0.00684411540433473,0.001191800849055732,0.0023238859488764725,CZ,0.41729500213396953
CZ05,48291,77446,1408602,29155,0,1491982,5934,0.051908132939941634,0.0195411204692818,0.03236701247065983,0.002694454265310654,3.8185538919498414e-4,0.001047623496275849,CZ,0.3764558531105544
CZ06,45371,76747,1587685,31376,0,1669073,4641,0.04598181146061317,0.018798458785205918,0.02718335267540725,0.0021143269851993766,3.5338205269908556e-4,7.389346626755705e-4,CZ,0.40882379767287313
CZ07,33372,44103,1161524,10731,0,1208371,2744,0.03649789675521839,0.008880550758003957,0.02761734599721443,0.001332096467554581,7.886418176548466e-5,7.62717799929856e-4,CZ,0.2433167811713489
CZ08,60101,70817,1131819,10716,0,1205834,3198,0.05872864755845332,0.008886795363209198,0.04984185219524412,0.003449054044045025,7.89751318275565e-5,0.002484210230252561,CZ,0.15131959840151377
CZZ,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,CZ,NA
CZZZ,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,CZ,NA
DK,160023,501911,5042685,341888,14568,5560628,1464,0.09026156757833828,0.06148370291988603,0.028777864658452248,0.00814715058169893,0.003780245724740802,8.281654943001949e-4,DK,0.6811725584814837
DK0,160023,501911,5042685,341888,14568,5560628,1464,0.09026156757833828,0.06148370291988603,0.028777864658452248,0.00814715058169893,0.003780245724740802,8.281654943001949e-4,DK,0.6811725584814837
DK01,67169,226073,1464817,158904,7940,1699387,557,0.1330320874527109,0.0935066585774753,0.0395254288752356,0.01769753629202572,0.008743495198324534,0.0015622595277713083,DK,0.7028880052018597
DK02,15622,50866,766921,35244,1718,819763,258,0.06204964117677914,0.04299291380557552,0.01905672737120363,0.0038501579701670455,0.0018483906374936459,3.631588581003816e-4,DK,0.6928793300043251
DK03,34191,92588,1104850,58397,2896,1200656,322,0.077114510734132,0.0486375781239589,0.028476932610173106,0.00594664776576456,0.0023656140057642053,8.109356908843404e-4,DK,0.6307188836566294
DK04,31462,96537,1162749,65075,1485,1260993,222,0.076556332985195,0.05160615483194594,0.024950178153249066,0.005860872120140056,0.002663195216538777,6.22511389878867e-4,DK,0.67409387074386
DK05,11579,35847,543348,24268,529,579829,105,0.06182339965748523,0.041853718941274064,0.01996968071621116,0.0038221327452091446,0.0017517337892151634,3.987881479074159e-4,DK,0.6769883114347086
DKZ,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,DK,NA
DKZZ,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,DK,NA
DE,5220600,10906210,65757580,5685610,423080,79652350,2565440,0.13692263944503835,0.07138031709045621,0.06554232235458213,0.01874780919259597,0.005095149667934075,0.004295796019631956,DE,0.5213185882171716
DE1,779090,1750680,8207370,971580,94020,10411000,358910,0.1681567572759581,0.0933224474113918,0.07483334934204207,0.028276695017565488,0.008709079190851989,0.005600030173748108,DE,0.554972924806361
DE11,332900,714320,3004460,381420,38600,3888640,131250,0.18369404213298224,0.09808570605661619,0.08560833607636603,0.033743501115153854,0.009620805732624915,0.007328787205764034,DE,0.5339623698062492
DE12,196920,444170,2069390,247250,23150,2643790,107090,0.1680050230918492,0.09352104365324024,0.07448397943860896,0.028225687784092783,0.008746185605991266,0.005547863193011123,DE,0.5566562352252516
DE13,136890,333030,1714410,196150,16730,2131030,66850,0.15627654232929616,0.09204469200339742,0.06423654289240414,0.024422357682400295,0.008472225326000293,0.004126333442767678,DE,0.5889859772392877
DE14,112390,259160,1419120,146770,15530,1747540,53720,0.14829989585359993,0.08398663263787953,0.06431326321572038,0.021992859110188584,0.007053754461850132,0.0041361958254545325,DE,0.5663296805062509
DE2,918550,1755050,10162260,836500,53980,12308250,336920,0.14259135132939288,0.06796254544715942,0.07462880588223346,0.020332293473942352,0.00461890758365721,0.005569458667408083,DE,0.47662459758981224
DE21,392070,718180,3415100,326120,21530,4295510,140690,0.16719318544247366,0.07592113625623034,0.0912743771985166,0.02795356125840139,0.005764018930437094,0.008331011932977085,DE,0.45409228884123753
DE22,72560,129970,1001620,57420,4410,1165480,29480,0.11151628513573807,0.04926725469334523,0.06225761059820847,0.012435881850475235,0.0024272623850189476,0.003876010077398159,DE,0.4417942602138955
DE23,57840,113140,921380,55300,2570,1064090,27000,0.1063255927600109,0.051969288312078865,0.05435630444793203,0.011305131675767683,0.002700806927663977,0.0029546078332362757,DE,0.4887749690648754
DE24,54750,108840,921960,54090,2480,1056800,23520,0.1029901589704769,0.05118281604844815,0.051807342922028765,0.010606972844764105,0.002619680658649281,0.002684000780640684,DE,0.49696802646086
DE25,146340,280230,1341460,133900,7370,1669840,40750,0.1678184736262157,0.08018732333636755,0.08763713888755809,0.02816304009023285,0.006430006823851156,0.007680268112397146,DE,0.4778217892445491
DE26,68330,149880,1106220,81540,4190,1290990,30710,0.11609694885320568,0.06316083006065112,0.05292837279916963,0.013478501533023855,0.0039892904539504505,0.0028014126471678793,DE,0.544035228182546
DE27,126680,254810,1454520,128140,11430,1765540,44780,0.14432411613444046,0.07257836129456144,0.07175141882936666,0.020829450497987456,0.005267618528203894,0.005148266104027192,DE,0.5028845021780934
DE3,221980,540520,2610170,318540,15550,3269260,103030,0.16533405113083693,0.09743489352330496,0.06789915760753198,0.027335348463334203,0.009493558475897775,0.004610295603812468,DE,0.5893213942129801
DE30,221980,540520,2610170,318540,15550,3269260,103030,0.16533405113083693,0.09743489352330496,0.06789915760753198,0.027335348463334203,0.009493558475897775,0.004610295603812468,DE,0.5893213942129801
DE4,136350,181900,2189210,45550,3260,2439110,64730,0.07457638236897884,0.018674844512957596,0.055901537856021255,0.005561636807244139,3.4874981758314244e-4,0.0031249819346681773,DE,0.2504123144584937
DE40,136350,181900,2189210,45550,3260,2439110,64730,0.07457638236897884,0.018674844512957596,0.055901537856021255,0.005561636807244139,3.4874981758314244e-4,0.0031249819346681773,DE,0.2504123144584937
DE5,47830,114190,497210,66360,14920,647000,20670,0.17649149922720248,0.10256568778979908,0.0739258114374034,0.031149249299465612,0.01051972031179454,0.0054650255966785235,DE,0.5811367019879149
DE50,47830,114190,497210,66360,14920,647000,20670,0.17649149922720248,0.10256568778979908,0.0739258114374034,0.031149249299465612,0.01051972031179454,0.0054650255966785235,DE,0.5811367019879149
DE6,109950,301800,1293790,191850,5010,1693110,92500,0.17825185605188085,0.11331218881230398,0.06493966723957688,0.031773724185940454,0.012839652133435228,0.0042171603811869745,DE,0.635685884691849
DE60,109950,301800,1293790,191850,5010,1693110,92500,0.17825185605188085,0.11331218881230398,0.06493966723957688,0.031773724185940454,0.012839652133435228,0.0042171603811869745,DE,0.635685884691849
DE7,428580,1014200,4657410,585620,38110,5946060,236340,0.1705667282200314,0.09848874717039519,0.07207798104963622,0.02909300877568606,0.009700033319194026,0.005195235352191719,DE,0.5774206270952476
DE71,312220,718020,2833810,405800,23980,3726860,151040,0.19266084585951712,0.10888522777888088,0.08377561808063624,0.03711820152730461,0.011855992828458771,0.007018354184792627,DE,0.5651653157293669
DE72,56530,143760,825760,87220,6030,1019860,44320,0.1409605239934893,0.08552154217245504,0.05542917655364462,0.01986986932451907,0.0073139341755550065,0.0030723936134151066,DE,0.6067056204785755
DE73,59830,152430,997840,92600,8100,1199340,40980,0.12709490219620792,0.07720913168909567,0.049885770507112244,0.016153114164263658,0.005961250016184117,0.00248859009908827,DE,0.6074919635242406
DE8,107790,139980,1400660,32190,4570,1585740,40530,0.08827424420144538,0.02029967081614893,0.06797457338529646,0.007792342189336413,4.120766352440085e-4,0.004620542626913054,DE,0.22996142306043724
DE80,107790,139980,1400660,32190,4570,1585740,40530,0.08827424420144538,0.02029967081614893,0.06797457338529646,0.007792342189336413,4.120766352440085e-4,0.004620542626913054,DE,0.22996142306043724
DE9,475440,997790,6454980,522350,50010,7723680,220900,0.12918582851697635,0.06762967911669049,0.06155614940028587,0.01668897828961762,0.004573773497426522,0.0037891595289903145,DE,0.5235069503602963
DE91,120040,222950,1291160,102910,9460,1565800,42230,0.14238727806871887,0.06572359177417295,0.07666368629454592,0.02027413695581867,0.004319590515698133,0.005877320796268549,DE,0.4615833146445391
DE92,150650,317010,1690550,166360,13220,2079440,58660,0.1524496979956142,0.08000230831377679,0.07244738968183742,0.023240910418953976,0.006400369335532599,0.005248624271712003,DE,0.5247783981577868
DE93,87600,172190,1426920,84590,7870,1656010,49040,0.10397884070748364,0.0510806094166098,0.05289823129087385,0.010811599314872258,0.002609228658372246,0.0027982228737027854,DE,0.49125965503223185
DE94,117150,285630,2046350,168490,19450,2422430,70980,0.11791052785839012,0.06955412540300442,0.0483605305416462,0.013902892579844194,0.004837776360576865,0.002338740914269495,DE,0.5898890172600917
DEA,1229150,2702830,13988930,1473680,87090,17436000,657180,0.15501433815095206,0.08451938518008717,0.07049495297086487,0.02402944503237771,0.007143526471219939,0.004969538394364451,DE,0.5452359193881967
DEA1,394400,826930,4032700,432530,17520,5048320,171210,0.16380300773326573,0.08567800773326573,0.078125,0.026831425342464313,0.007340721009141541,0.006103515625,DE,0.5230551558173001
DEA2,296830,674060,3374610,377230,21430,4262300,192200,0.15814466367923422,0.08850385941862375,0.06964080426061046,0.0250097346502181,0.007832933131991515,0.004849841618064661,DE,0.5596386078390648
DEA3,140600,313950,2147660,173340,10230,2554820,82980,0.12288536961508051,0.06784822414103538,0.05503323130396662,0.015100814065434951,0.004603381519092176,0.0030286565477558912,DE,0.5521261347348304
DEA4,124080,337530,1578020,213450,17780,2014880,81560,0.16751866116096245,0.10593682998491226,0.061581831176050185,0.02806250183716135,0.011222611947252206,0.0037923219309955467,DE,0.6323882321571416
DEA5,273240,550370,2855950,277120,20140,3555680,129240,0.15478614498492552,0.07793727219547315,0.07684606038788643,0.023958750679294382,0.0060742183972712725,0.0059053169971386875,DE,0.5035158166324473
DEB,199040,476090,3323020,277050,29650,3969390,140650,0.11994034347846898,0.06979661862402031,0.050143724854448665,0.014385685993733115,0.004871567971346939,0.002514393142278653,DE,0.581927786763007
DEB1,60980,168320,1237840,107340,11510,1474490,56820,0.11415472468446718,0.07279805220788205,0.04135667247658512,0.0130313011677865,0.00529955640526152,0.0017103743583355335,DE,0.6377138783269962
DEB2,25210,49600,443950,24380,1990,514530,19020,0.09639865508327988,0.04738304860746701,0.048996171263094475,0.009292700701865162,0.0022451532953375814,0.002400624798442485,DE,0.49153225806451617
DEB3,112850,258180,1641240,145320,16160,1980370,64810,0.13036957740220262,0.07338022692729136,0.056984300913465666,0.0169962267120289,0.005384657703900776,0.003247210550596404,DE,0.56286311875435735
DEC,46060,103410,863320,57350,2750,993510,24020,0.10408551499230002,0.057724632867308834,0.04636088212499119,0.010833794431212313,0.0033321332396655913,0.0021493313914073275,DE,0.5545885310898366
DED,169740,251230,3676360,81490,7110,4008600,73900,0.06267275357980343,0.02032879309484608,0.042343960484957345,0.003927874041274763,4.132598286930617e-4,0.001793010989551629,DE,0.3243641284878398
DED2,77250,108070,1432310,30820,4250,1573130,28500,0.06869743759257023,0.019591515005117188,0.04910592258745304,0.004719337931785081,3.8382746019573194e-4,0.002411391633164931,DE,0.28518552789858426
DED4,50980,75160,1385650,24180,1700,1483190,20670,0.050674559564182604,0.016302698912479183,0.034371860651703424,0.0025679109870238906,2.6577799183094997e-4,0.0011814248046601182,DE,0.32171367748802554
DED5,41520,68000,858410,26480,1160,952290,24730,0.07140681935124804,0.02780665553560365,0.0436001638156444,0.005098933849861772,7.732100920757171e-4,0.001900974284751027,DE,0.3894117647058824
