geo,EU_OTH_other,EU_OTH_primary,EU_OTH_secundary,EU_OTH_tertiary,FOR_other,FOR_primary,FOR_secundary,FOR_tertiary,NAT_other,NAT_primary,NAT_secundary,NAT_tertiary,NEU_other,NEU_primary,NEU_secundary,NEU_tertiary,OTH_other,OTH_primary,OTH_secundary,OTH_tertiary,TOTAL_other,TOTAL_primary,TOTAL_secundary,TOTAL_tertiary,UNK_other,UNK_primary,UNK_secundary,UNK_tertiary,pct_native_tertiary,pct_fborn_primary,pct_fborn_secundary,pct_fborn_tertiary,pct_non_eu_primary,pct_non_eu_secundary,pct_non_eu_tertiary,pct_eu_fborn_primary,pct_eu_fborn_secundary,pct_eu_fborn_tertiary
AT,578200,31697,366510,112941,1386549,119058,937620,182149,8239934,437525,4612244,882609,808349,87361,571110,69208,2481,414,1921,106,9629630,557065,5552177,1065008,666,68,392,144,0.05252411942956032,0.0070851493821665,0.0557978276445678,0.010839698926676458,0.005198858834983349,0.03398679352625703,0.004118572615372164,0.0018862905471831505,0.02181103411831077,0.006721126311304294
AT1,291357,12431,182553,64711,755068,66210,499351,110867,3379093,126679,1892639,396141,463711,53779,316798,46156,1220,155,998,45,4135769,193075,2393220,507146,388,31,232,93,0.05479727383766691,0.009158677089197851,0.06907407586721094,0.015335977236793509,0.007439125436942626,0.043821939050048345,0.006384653371530223,0.0017195516522552257,0.025252136817162596,0.008951323865263285
AT11,17185,1219,11492,1988,27309,2072,18827,2762,296235,25446,172927,25696,10124,853,7335,774,44,11,29,2,323593,27530,191786,28461,5,1,3,1,0.04497260969249348,0.003626371703099568,0.03295062743931253,0.004833995484537165,0.0014929030225598124,0.012837565850499676,0.0013546388504821745,0.0021334686805397555,0.020113061588812854,0.0034793566340549907
AT12,83719,4035,55303,14797,176416,13429,122282,21729,1674899,76252,980296,163185,92697,9394,66979,6932,355,50,281,16,1851774,89739,1102915,184958,104,8,56,28,0.05053127746265079,0.004158375616912936,0.037865402277708515,0.006728523626472648,0.0029089120966028837,0.02074047512437349,0.0021465380725624005,0.0012494635203100528,0.01712492715333503,0.004581985553910248
AT13,190453,7177,115758,47926,551343,50709,358242,86376,1407959,24981,739416,207260,360890,43532,242484,38450,821,94,688,27,1960402,75806,1098519,293727,279,22,173,64,0.060452903845290035,0.014790631579131585,0.10449082881088677,0.025193862889803974,0.01269726821476969,0.0707269223970921,0.011214967445968357,0.002093363364361896,0.033763906413794675,0.013978895443835617
AT2,88251,5609,57539,14405,181747,12054,125126,22943,1823440,121598,1057110,183892,93496,6445,67587,8538,654,152,455,41,2005988,133826,1182779,206903,147,22,88,27,0.05210148984444238,0.0034152184901187024,0.035451520557042704,0.006500361524704944,0.0018260397518512557,0.019149192972594386,0.002419042265524596,0.0015891787382674466,0.016302327584448318,0.004081319259180347
AT21,29376,1828,19151,4781,57471,3489,40302,7088,575472,32846,337885,57185,28095,1661,21151,2307,287,62,204,17,633252,36402,378400,64292,22,5,9,2,0.051409363633257994,0.003136613967236813,0.03623153227502953,0.006372118028023654,0.0014932404126054304,0.01901476698796957,0.002073994961999234,0.0016433735546313828,0.01721676528705996,0.00429812306602442
AT22,58875,3781,38388,9624,124276,8565,84824,15855,1247968,88752,719225,126707,65401,4784,46436,6231,367,90,251,24,1372736,97424,804379,142611,125,17,79,25,0.052419998758868915,0.0035434292451854456,0.03509256769335788,0.00655937777961649,0.001979190368822787,0.019211054340855967,0.00257782926173386,0.0015642388763626586,0.015881513352501913,0.0039815485178826306
AT3,198592,13657,126418,33825,449734,40794,313143,48339,3037401,189248,1662495,302576,251142,27137,186725,14514,607,107,468,20,3487873,230164,1976178,350959,131,15,72,24,0.050052488150051595,0.006748192855987272,0.05180049408007115,0.00799629588825731,0.004489035385912796,0.030888275507040822,0.0024009234473647903,0.002259157470074476,0.02091221857303032,0.00559537244089252
AT31,73081,5541,47277,10773,184128,16912,129757,16855,1445378,96963,793816,142883,111047,11371,82480,6082,363,83,267,11,1629926,113960,923877,159761,57,2,37,12,0.05053290440682378,0.005981204757236367,0.0458906803266745,0.005961045777153439,0.00402153969338545,0.029170397846313593,0.0021509985414801076,0.001959665063850917,0.01672028248036091,0.003810047235673331
AT32,38106,1951,23917,7530,87441,5939,61945,10921,522135,27830,285241,56406,49335,3988,38028,3391,113,17,88,4,609718,33792,347286,67336,29,6,12,5,0.05330714882453229,0.005612721286191137,0.05854184544083347,0.010321018549670552,0.0037689059588028716,0.03593880536643821,0.0032047041389921104,0.0018438153273882653,0.022603040074395255,0.007116314410678441
AT33,59451,3850,38210,10915,109700,9246,75918,13976,706587,42689,390692,69584,50249,5396,37708,3061,95,4,82,3,816417,51946,466708,83567,35,7,16,4,0.049049863319606556,0.006517518916030728,0.053514709178803896,0.00985170283046133,0.0038036482880058195,0.02658042432248396,0.0021577033746452584,0.0027138706280249083,0.026934284856319934,0.0076939994558160715
AT34,27954,2315,17014,4607,68465,8697,45523,6587,363301,21766,192746,33703,40511,6382,28509,1980,36,3,31,2,431812,30466,238307,40295,10,0,7,3,0.04549049778641615,0.011738743116294137,0.06144449843429435,0.008890778533635676,0.008614080552856063,0.03847991577583414,0.002672497570456754,0.003124662563438074,0.02296458265846021,0.0062182809631789225
ATZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ATZZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BE,1109981,91695,227300,102070,2197420,201808,423109,212879,11621011,860080,4343083,1918390,1087439,110113,195809,110809,171272,15645,21411,14080,13990651,1077563,4787678,2145384,948,30,75,35,0.08719448817423135,0.00917255890067467,0.019231111868238913,0.009675756987912882,0.005004846082563575,0.008899892897121058,0.0050364806113972664,0.004167712818111095,0.010331218971117858,0.004639276376515617
BE1,303527,13807,33181,32021,695166,49752,93775,70213,877399,40341,241150,150606,391639,35945,60594,38192,44677,2253,4342,3346,1617757,92351,339275,224173,515,5,8,8,0.06624248534014557,0.021882900619118243,0.04124596007311894,0.030882459020142895,0.01581003502882709,0.026651641745353973,0.01679835464796117,0.0060728655902911564,0.014594318327764963,0.014084104372181728
BE10,303527,13807,33181,32021,695166,49752,93775,70213,877399,40341,241150,150606,391639,35945,60594,38192,44677,2253,4342,3346,1617757,92351,339275,224173,515,5,8,8,0.06624248534014557,0.021882900619118243,0.04124596007311894,0.030882459020142895,0.01581003502882709,0.026651641745353973,0.01679835464796117,0.0060728655902911564,0.014594318327764963,0.014084104372181728
BE2,414321,28481,90690,39522,851286,78061,171382,79561,6928439,559005,2681633,1185603,436965,49580,80692,40039,86850,9907,11808,7727,7866752,646983,2864844,1272901,177,10,21,10,0.0937125933092413,0.006170108161258603,0.013546399314546598,0.006288671364931217,0.0039189090920587945,0.0063780680205003685,0.003164768074565189,0.0022511990691998092,0.00716833129404623,0.0031239032903660285
