geo,year,expenditure
AT,2019,0.28600000000000003
BA,2019,0.196
BE,2019,0.27399999999999997
BG,2019,0.16
CH,2019,0.251
CY,2019,0.177
CZ,2019,0.183
DE,2019,0.289
DK,2019,0.302
EE,2019,0.163
EL,2019,0.248
ES,2019,0.237
FI,2019,0.29600000000000004
FR,2019,0.312
HR,2019,0.209
HU,2019,0.16399999999999998
IE,2019,0.13
IS,2019,0.247
IT,2019,0.282
LT,2019,0.161
LU,2019,0.21600000000000003
LV,2019,0.154
ME,2019,0.158
MT,2019,0.145
NL,2019,0.26899999999999996
NO,2019,0.27399999999999997
PL,2019,0.209
PT,2019,0.231
RO,2019,0.15
RS,2019,0.19
SE,2019,0.271
SI,2019,0.218
SK,2019,0.174
TR,2019,0.12300000000000001
AT,2018,0.284
BA,2018,0.193
BE,2018,0.273
BG,2018,0.16399999999999998
CH,2018,0.24600000000000002
CY,2018,0.17300000000000001
CZ,2018,0.179
DE,2018,0.284
DK,2018,0.305
EE,2018,0.162
EL,2018,0.25
ES,2018,0.23199999999999998
FI,2018,0.29600000000000004
FR,2018,0.314
HR,2018,0.209
HU,2018,0.17300000000000001
IE,2018,0.13699999999999998
IS,2018,0.23800000000000002
IT,2018,0.27899999999999997
LT,2018,0.155
LU,2018,0.21100000000000002
LV,2018,0.15
ME,2018,0.162
MT,2018,0.146
NL,2018,0.271
NO,2018,0.262
PL,2018,0.192
PT,2018,0.231
RO,2018,0.147
RS,2018,0.19
SE,2018,0.27699999999999997
SI,2018,0.21600000000000003
SK,2018,0.175
TR,2018,0.11800000000000001
UK,2018,0.255
AT,2017,0.28600000000000003
BA,2017,0.195
BE,2017,0.273
BG,2017,0.16399999999999998
CH,2017,0.252
CY,2017,0.18
CZ,2017,0.17800000000000002
DE,2017,0.28300000000000003
DK,2017,0.307
EE,2017,0.157
EL,2017,0.254
ES,2017,0.23
FI,2017,0.3
FR,2017,0.317
HR,2017,0.209
HU,2017,0.179
IE,2017,0.145
IS,2017,0.23199999999999998
IT,2017,0.278
LT,2017,0.14400000000000002
LU,2017,0.20800000000000002
LV,2017,0.145
ME,2017,0.172
MK,2017,0.14300000000000002
MT,2017,0.151
NL,2017,0.276
NO,2017,0.273
PL,2017,0.196
PT,2017,0.23600000000000002
RO,2017,0.145
RS,2017,0.19
SE,2017,0.282
SI,2017,0.223
SK,2017,0.177
TR,2017,0.12
UK,2017,0.261
AT,2016,0.29
BA,2016,0.20199999999999999
BE,2016,0.27699999999999997
BG,2016,0.16899999999999998
CH,2016,0.248
CY,2016,0.19
CZ,2016,0.182
DE,2016,0.284
DK,2016,0.311
EE,2016,0.16399999999999998
EL,2016,0.261
ES,2016,0.23399999999999999
FI,2016,0.311
FR,2016,0.32
HR,2016,0.212
HU,2016,0.185
IE,2016,0.153
IS,2016,0.22
IT,2016,0.281
LT,2016,0.146
LU,2016,0.20199999999999999
LV,2016,0.147
ME,2016,0.182
MK,2016,0.139
MT,2016,0.162
NL,2016,0.28
NO,2016,0.28
PL,2016,0.203
PT,2016,0.24
RO,2016,0.14400000000000002
RS,2016,0.198
SE,2016,0.28800000000000003
SI,2016,0.22899999999999998
SK,2016,0.179
TR,2016,0.126
UK,2016,0.257
AT,2015,0.29100000000000004
BA,2015,0.198
BE,2015,0.28600000000000003
BG,2015,0.171
CH,2015,0.244
CY,2015,0.195
CZ,2015,0.183
DE,2015,0.281
DK,2015,0.32299999999999995
EE,2015,0.159
EL,2015,0.258
ES,2015,0.243
FI,2015,0.312
FR,2015,0.319
HR,2015,0.212
HU,2015,0.187
IE,2015,0.154
IS,2015,0.21899999999999997
IT,2015,0.28600000000000003
LT,2015,0.14800000000000002
LU,2015,0.20800000000000002
LV,2015,0.146
MK,2015,0.14
MT,2015,0.162
NL,2015,0.281
NO,2015,0.267
PL,2015,0.19
PT,2015,0.247
RO,2015,0.14300000000000002
RS,2015,0.20199999999999999
SE,2015,0.284
SI,2015,0.23399999999999999
SK,2015,0.175
TR,2015,0.11699999999999999
UK,2015,0.271
AT,2014,0.29
BA,2014,0.20199999999999999
BE,2014,0.287
BG,2014,0.17800000000000002
CH,2014,0.23800000000000002
CY,2014,0.198
CZ,2014,0.18899999999999997
DE,2014,0.278
DK,2014,0.33
EE,2014,0.147
EL,2014,0.257
ES,2014,0.251
FI,2014,0.309
FR,2014,0.321
HR,2014,0.212
HU,2014,0.19399999999999998
IE,2014,0.204
IS,2014,0.228
IT,2014,0.285
LT,2014,0.145
LU,2014,0.212
LV,2014,0.142
MT,2014,0.17600000000000002
NL,2014,0.28600000000000003
NO,2014,0.249
PL,2014,0.19
PT,2014,0.255
RO,2014,0.14400000000000002
RS,2014,0.21600000000000003
SE,2014,0.28800000000000003
SI,2014,0.235
SK,2014,0.18
TR,2014,0.11800000000000001
UK,2014,0.27
AT,2013,0.28800000000000003
BA,2013,0.2
BE,2013,0.28800000000000003
BG,2013,0.17
CH,2013,0.23800000000000002
CY,2013,0.209
CZ,2013,0.19399999999999998
DE,2013,0.28
DK,2013,0.33
EE,2013,0.147
EL,2013,0.259
ES,2013,0.255
FI,2013,0.302
FR,2013,0.319
HR,2013,0.207
HU,2013,0.204
IE,2013,0.222
IS,2013,0.223
IT,2013,0.28300000000000003
LT,2013,0.145
LU,2013,0.214
LV,2013,0.14400000000000002
MT,2013,0.18100000000000002
NL,2013,0.28800000000000003
NO,2013,0.24
PL,2013,0.192
PT,2013,0.26
RO,2013,0.146
RS,2013,0.214
SE,2013,0.293
