region,year_unemployment,unemployment_noed,unemployment_seconded,unemployment_tertiaryed,unemployment_rate
AT11,2009,NA,3.8,NA,4
AT12,2009,7.4,3.8,NA,3.9
AT13,2009,15,8.4,4.2,8.3
AT21,2009,9.8,3.8,NA,4.3
AT22,2009,9.8,3.8,NA,4.5
AT31,2009,7,3.4,NA,3.9
AT32,2009,NA,2.8,NA,3.2
AT33,2009,6.5,2.7,NA,3.2
AT34,2009,9.5,3.7,NA,4.6
BE10,2009,30,19,9,17.3
BE21,2009,10.3,6.3,3.6,6
BE22,2009,10.1,4.7,3,5.3
BE23,2009,9.6,5,3.1,5.2
BE24,2009,9.5,5.1,3,4.8
BE25,2009,7.3,3.6,1.9,3.8
BE31,2009,14.3,10.6,5.1,8.3
BE32,2009,22.7,15.5,5.3,13.9
BE33,2009,19.3,10.7,6.4,11.5
BE34,2009,13,7.7,NA,7.5
BE35,2009,16.1,9.5,5.8,9.6
BG31,2009,29.6,10.7,NA,11.2
BG32,2009,24.8,10,6.1,11.6
BG33,2009,30.4,12.3,5.9,14.6
BG34,2009,21.7,8.3,5.4,10.5
BG41,2009,12.7,8.1,3.8,6.9
BG42,2009,21.3,10.9,4.3,11.5
CH01,2009,12,7.2,4.4,7.2
CH02,2009,8.2,4.2,3,4.5
CH03,2009,7.8,5.2,2.4,4.7
CH04,2009,7,4.3,3.4,4.4
CH05,2009,5.4,3.9,2.5,3.8
CH06,2009,4.9,3.4,1.8,3.1
CH07,2009,8,6.6,3.2,5.9
CY00,2009,7,6.4,5.7,6.3
CZ01,2009,16.5,3.9,2.4,3.7
CZ02,2009,13.7,5.3,1.9,5.2
CZ03,2009,16,5.4,2.5,5.6
CZ04,2009,31.8,8.9,2.2,11.1
CZ05,2009,25.9,6.6,2.3,7
CZ06,2009,22.7,7.6,2.9,7.5
CZ07,2009,29.5,8.2,4.7,8.8
CZ08,2009,33.4,9.5,3.6,10.2
DE11,2009,10.2,4.8,2.4,5
DE12,2009,11.9,4.7,2.4,5.2
DE13,2009,8.2,3.5,2.1,3.9
DE14,2009,9.5,4.5,NA,4.5
DE21,2009,6.6,3.8,2.1,3.6
DE22,2009,7.3,3.6,NA,3.9
DE23,2009,8.8,3.6,NA,4
DE24,2009,11.6,5.7,NA,5.9
DE25,2009,11.3,5.3,2.5,5.5
DE26,2009,10.4,4.9,NA,5.1
DE27,2009,7.1,4.4,NA,4.2
DE30,2009,31.1,12.8,5.5,12.8
DE40,2009,24.5,10.8,3.7,9.8
DE50,2009,14.2,7.2,NA,7.9
DE60,2009,14.9,6.7,3.8,7
DE71,2009,13.9,5.4,2.5,5.8
DE72,2009,12.5,5.5,NA,6
DE73,2009,13.8,5.3,NA,6
DE80,2009,23.5,14.1,4.4,12.3
DE91,2009,14.6,6.1,4.4,7.1
DE92,2009,16.1,6.5,2.7,7
DE93,2009,15.1,4.6,NA,5.7
DE94,2009,12.3,5.3,2.6,5.9
DEA1,2009,17.5,6.5,3.2,7.6
DEA2,2009,16.3,6.3,2.8,7
DEA3,2009,15.9,5.6,2.7,6.6
DEA4,2009,17.4,5.3,2.9,7
DEA5,2009,18.3,6.9,2.7,8.2
DEB1,2009,10.7,4.5,NA,5.1
DEB2,2009,NA,3.8,NA,4.1
DEB3,2009,14.5,5.2,2.2,6
DEC0,2009,14.1,6.2,NA,6.9
DED2,2009,18.3,12.2,5.2,10.3
DED4,2009,23.3,13.7,4.1,11.5
DED5,2009,28.4,14.6,4.4,12.1
DEE0,2009,25.9,12.2,4.1,11.4
DEF0,2009,14.4,6.1,2.9,6.6
DEG0,2009,13.8,10.2,3.4,8.6
DK01,2009,13.3,7.9,4.8,8
DK02,2009,11.8,6.3,2.9,7.1
DK03,2009,12.2,6.7,5,8
DK04,2009,10.5,7.4,4.9,7.6
DK05,2009,11.8,6.2,5.5,7.7
EE00,2009,30.5,19.1,9.4,16.7
EL30,2009,16.1,13.6,8.9,12.6
EL41,2009,10.3,9.1,8.7,9.4
